marque;libelle;grammage;prix;nomMagasin
JUDY;Liquide vaisselle framboise;Le flacon de 580ml;"3
dt
120";carrefour
PRIL;Liquide vaisselle citron 5 en 1;Le flacon de 960ml;"8
dt
100";carrefour
  FINO ;Poudre mains;300GR;1,850 DT;monoprix
  LILAS ;Poudre mains;1kg;8,990 DT;monoprix
  SAVON DE CARTHAGE ;Savons de lavage;500GR;4,990 DT;monoprix
  SOUPLINE ;Assouplissant;3L;12,190 DT;monoprix
  NASSIM ;Désodorisant air;300ml;4,990 DT;monoprix
  DIPTOX ;Insecticide tous insectes;500ML;5,500 DT;monoprix
  LANCE ;Insecticide anti-volant;300ml;4,690 DT;monoprix
  JUDY ;Eau de javel;3L;4,920 DT;monoprix
  JUDY ;Nettoyant vitre;500ML;4,950 DT;monoprix
  JUDY ;Gel détartrant;750ml;5,650 DT;monoprix
  GENERAL ;Bloc de cuvette;50GR;5,090 DT;monoprix
  JUDY ;Nettoyant sols et surfaces;1.2L;7,690 DT;monoprix
  LILAS ;Nettoyant sol et surface;1.5L;5,990 DT;monoprix
  JUDY ;Liquide vaisselle mains;580ML;2,750 DT;monoprix
  PRIL ;Lave vaisselle mains;960ML;7,390 DT;monoprix
  CRISTAL ;Balai;En plastique;4,990 DT;monoprix
  CRISTAL ;Raclette;1;5,290 DT;monoprix
  NANA ;Serpillère;3 pièces;2,690 DT;monoprix
  TIP TOP ;Tampon éponge à récurer;3 pièces;4,590 DT;monoprix
  CORAZZI ;Tampon à récurer;2 rouleaux;3,190 DT;monoprix
  LILAS ;Essuie-tout;2Rouleaux;11,390 DT;monoprix
  RENOVA ;Essuie-tout;10x51L;5,890 DT;monoprix
  SWEET ;Sac poubelle;1KG Rose;2,990 DT;monoprix
FINO;Poudre mains;1KG Savon de Marseille;6,200 DT;geant
LILAS;Poudre mains;500GR;8,990 DT;geant
SAVON DE CARTHAGE;Savons de lavage;3L Grand air;4,340 DT;geant
SOUPLINE;Assouplissant;300ML;12,190 DT;geant
NASSIM;Désodorisant air;500ML;4,770 DT;geant
DIPTOX;Insecticide;300ML;5,390 DT;geant
LANCE;Insecticide anti-volant;3L Fleurs;3,850 DT;geant
JUDY;Eau de javel parfumée;500ML;5,590 DT;geant
JUDY;Nettoyant vitre;750ML;4,690 DT;geant
JUDY;Gel détartrant;50GR Juicy lemon;5,650 DT;geant
GENERAL;Bloc cuvette solide;1.2L Lavande;4,650 DT;geant
JUDY;Nettoyant sol et surface;1.5L;7,490 DT;geant
LILAS;Nettoyant sol et surface;580ML Framboise;5,990 DT;geant
JUDY;Liquide vaisselle mains;960ML Citron;2,750 DT;geant
JUDY;Liquide vaisselle mains;Ref 1211;5,590 DT;geant
CRISTAL;Balai flouka;;4,550 DT;geant
CRISTAL;Raclette;0.75x0.55M;4,990 DT;geant
L'ELEPHANT;Serpillère;3pièces;2,500 DT;geant
TUNIJEX;Tampons éponge à récurer;3Pièces Simba XK214;3,890 DT;geant
CORAZZI;Tampon à récurer;2 Plis-2 Rouleaux Prestige Jumbo;3,200 DT;geant
LILAS;Essuie-tout;2Rouleaux Maxi absorbante-Blanc décoré;10,990 DT;geant
RENOVA;Essuie-tout;51L - 10pièces;5,090 DT;geant
SWEET;Sacs poubelle;;2,900 DT;geant
